,Unnamed: 0,timestamp,screen_name,replay_to_users,replies,retweets,likes,text,geo,mentions,hashtags,user_id,tweet_url,city_id,city,lat,lng
62,62,2019-06-12 18:34:18,versekyle,,0,0,0,Not only that @StateFarm how the hell am I liable/at fault when I was rear ended? All your claims representatives have ALL told me something different. This is ridiculous.,,@StateFarm,[],1138877199099072513,https://twitter.com/versekyle/status/1138877199099072513,1840005820,Smyrna,39.2922,-75.6076
63,63,2019-06-12 18:16:28,versekyle,,1,0,0,@StateFarm what is going on with your claims representatives? I can’t even begin to wrap my head around HOW GHETTO &amp; RUDE Chassidy was to me. And when I ask to speak to a supervisor I was told “that’s not happening today” she continued to laugh &amp; then hang up the call.,,@StateFarm,[],1138872711432822784,https://twitter.com/versekyle/status/1138872711432822784,1840005820,Smyrna,39.2922,-75.6076
64,64,2019-06-01 14:44:16,highopesinheels,StateFarm,0,0,1,@TemekaEaster my mentor and friend.,,@TemekaEaster,[],1134833042051207168,https://twitter.com/highopesinheels/status/1134833042051207168,1840005820,Smyrna,39.2922,-75.6076
65,65,2019-05-11 03:50:54,CoachColeman15,,0,0,4,CP3 might need to call his State Farm agent for this disaster ,,,[],1127058475454849024,https://twitter.com/CoachColeman15/status/1127058475454849024,1840005820,Smyrna,39.2922,-75.6076
66,66,2019-04-22 21:07:17,SF_DwayneRedd,,0,0,7,"7 weeks, 11 #DE @BGCA_Clubs, 13 @StateFarm agents, and 23 Youth of the Year students. Great run, great program, &amp; great people helping to uplift our students. TY to all my #goodneighbors who helped. Too many to list! #appreciatethegood #NeighborhoodofGood #post1",,@BGCA_Clubs @StateFarm,DE goodneighbors appreciatethegood NeighborhoodofGood post1,1120433919248228353,https://twitter.com/SF_DwayneRedd/status/1120433919248228353,1840005820,Smyrna,39.2922,-75.6076
67,67,2019-04-22 19:04:09,ashley_o98,,1,0,0,@StateFarm stop sending me mail immediately.,,@StateFarm,[],1120402932518797312,https://twitter.com/ashley_o98/status/1120402932518797312,1840005820,Smyrna,39.2922,-75.6076
68,68,2019-12-25 18:59:57,MeshuggahJr,milkinhisbag,0,1,1,"Ride a cowboy, but the cowboy is Jake from State Farm collecting his insurance claim",,,[],1209911678080561153,https://twitter.com/MeshuggahJr/status/1209911678080561153,1840028614,Pike Creek Valley,39.7296,-75.6993
69,69,2019-10-11 20:03:06,SF_DwayneRedd,,0,1,7,Appreciate @6abc for spending time w/ us. #goodneighbor to @mattiecstewart @CISNational @StateFarm @RedClaySchools. Working together to help students make the right choice. #TheChoiceBus #DE – at Thomas McKean High School,,@6abc @mattiecstewart @CISNational @StateFarm @RedClaySchools,goodneighbor TheChoiceBus DE,1182748480663625728,https://twitter.com/SF_DwayneRedd/status/1182748480663625728,1840028614,Pike Creek Valley,39.7296,-75.6993
70,70,2019-10-11 13:28:48,SF_DwayneRedd,,0,2,5,Day 5 is here! #TheChoiceBus has been and will always be #goodneighbor to #DE @StateFarm @CISNational. TY @mattiecstewart for a great visit. – at Thomas McKean High School,,@StateFarm @CISNational @mattiecstewart,TheChoiceBus goodneighbor DE,1182649250502586368,https://twitter.com/SF_DwayneRedd/status/1182649250502586368,1840028614,Pike Creek Valley,39.7296,-75.6993
71,71,2019-10-09 13:56:07,SF_DwayneRedd,nicoleAalvarez,0,0,2,We appreciate you for spending your morning with us. Means a lot to have your support. Please tell state Senator @SokolaDavid we said thank you and hello. @SF_MariaJ @StateFarm – at George Read Middle School,,@SokolaDavid @SF_MariaJ @StateFarm,[],1181931350594609152,https://twitter.com/SF_DwayneRedd/status/1181931350594609152,1840028614,Pike Creek Valley,39.7296,-75.6993
