,Unnamed: 0,Unnamed: 0.1,city,city_id,timestamp,likes,geo,hashtags,user_id,lat,lng,mentions,tweet_url,replies,retweets,text,replay_to_users,screen_name
59,59,,Cape Elizabeth,1840052639,2019-11-10 22:06:24,2,,[],1193651146579234816,43.5891,-70.238,,https://twitter.com/mtrem2/status/1193651146579234816,0,0,State Farm is rapidly catching up to Progressive and Geico when it comes to really annoying commercials,,mtrem2
60,60,,Cape Elizabeth,1840052639,2019-09-22 15:30:33,0,,SesameStreet,1175794519478034432,43.5891,-70.238,@StateFarm,https://twitter.com/LeanneCalderLib/status/1175794519478034432,0,0,@StateFarm love the #SesameStreet ads keep em comin!!!,,LeanneCalderLib
61,61,,Cape Elizabeth,1840052639,2019-09-21 07:39:13,1,,[],1175313518817632257,43.5891,-70.238,,https://twitter.com/BibleOfKate/status/1175313518817632257,0,0,This is powerful. I think you should bring this up to State Farm as a company. Mr. Coleman deserves a lot of public recognition for his abusive and atrocious behavior.,hooligantactix,BibleOfKate
62,62,,Cape Elizabeth,1840052639,2019-07-12 02:18:21,1,,[],1149503228586811394,43.5891,-70.238,@CP3,https://twitter.com/bencampo/status/1149503228586811394,0,0,Which OKC player will join @CP3 in the State Farm Commercials?,PeterVecsey1,bencampo
63,63,,Old Orchard Beach,1840052942,2019-11-10 22:06:24,2,,[],1193651146579234816,43.5239,-70.3904,,https://twitter.com/mtrem2/status/1193651146579234816,0,0,State Farm is rapidly catching up to Progressive and Geico when it comes to really annoying commercials,,mtrem2
64,64,,Old Orchard Beach,1840052942,2019-09-22 15:30:33,0,,SesameStreet,1175794519478034432,43.5239,-70.3904,@StateFarm,https://twitter.com/LeanneCalderLib/status/1175794519478034432,0,0,@StateFarm love the #SesameStreet ads keep em comin!!!,,LeanneCalderLib
65,65,,Old Orchard Beach,1840052942,2019-09-21 07:39:13,1,,[],1175313518817632257,43.5239,-70.3904,,https://twitter.com/BibleOfKate/status/1175313518817632257,0,0,This is powerful. I think you should bring this up to State Farm as a company. Mr. Coleman deserves a lot of public recognition for his abusive and atrocious behavior.,hooligantactix,BibleOfKate
66,66,,Rockland,1840000322,2019-11-02 11:32:59,0,,blessed mainelife,1190592636220059649,44.1274,-69.1369,,https://twitter.com/60_cdonahue/status/1190592636220059649,0,0,“Crisp” morning on the deck. It’s only going to get “ crisper”... #blessed #mainelife @Dave Neilson - State Farm Insurance Agent https://www.instagram.com/p/B4XItP9AHGw/?igshid=100ygtc16tq3w,,60_cdonahue
67,67,,Rockland,1840000322,2019-09-23 10:29:26,0,,nofilterneeded,1176081127918002176,44.1274,-69.1369,,https://twitter.com/60_cdonahue/status/1176081127918002176,0,0,First day of Fall has a beautiful beginning here on the coast of Maine! #nofilterneeded @Dave Neilson - State Farm Insurance Agent https://www.instagram.com/p/B2wBorLg38R/?igshid=bm8cc5i7rag6,,60_cdonahue
68,68,,Yarmouth,1840053071,2019-12-24 02:18:20,0,,[],1209297225915994114,43.7978,-70.1719,,https://twitter.com/kayak_birder/status/1209297225915994114,0,0,I’m so sick of the AARod grab assing. Just not that good and one of the ultimate ‘hate the face’,NFL,kayak_birder
69,69,,Yarmouth,1840053071,2019-11-10 22:06:24,2,,[],1193651146579234816,43.7978,-70.1719,,https://twitter.com/mtrem2/status/1193651146579234816,0,0,State Farm is rapidly catching up to Progressive and Geico when it comes to really annoying commercials,,mtrem2
70,70,,Yarmouth,1840053071,2019-09-22 15:30:33,0,,SesameStreet,1175794519478034432,43.7978,-70.1719,@StateFarm,https://twitter.com/LeanneCalderLib/status/1175794519478034432,0,0,@StateFarm love the #SesameStreet ads keep em comin!!!,,LeanneCalderLib
71,71,,Yarmouth,1840053071,2019-09-21 07:39:13,1,,[],1175313518817632257,43.7978,-70.1719,,https://twitter.com/BibleOfKate/status/1175313518817632257,0,0,This is powerful. I think you should bring this up to State Farm as a company. Mr. Coleman deserves a lot of public recognition for his abusive and atrocious behavior.,hooligantactix,BibleOfKate
